Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,125.599998,126.959999,124.910004,125.120003,124.992363,611300
2017-09-26,125.300003,127.360001,125.019997,126.709999,126.580742,786500
2017-09-27,126.459999,126.930000,124.879997,126.360001,126.231094,837100
2017-09-28,126.209999,126.209999,124.190002,125.519997,125.391953,869800
2017-09-29,125.660004,126.610001,125.180000,126.059998,125.931404,512200
2017-10-02,125.919998,127.010002,124.680000,127.000000,126.870430,504300
2017-10-03,127.000000,127.000000,125.639999,126.269997,126.141190,1220300
2017-10-04,126.320000,127.919998,126.150002,127.290001,127.160149,719400
2017-11-03,127.239998,128.509995,126.519997,126.879997,126.750557,721300
2017-11-06,127.370003,129.389999,127.040001,127.389999,127.260040,374100
2017-11-07,127.440002,127.440002,122.309998,122.739998,122.614777,921300
2017-11-08,122.449997,124.610001,120.910004,123.570000,123.443947,898300
2017-11-09,123.220001,126.110001,123.000000,124.870003,124.742615,776600
2017-11-10,125.019997,127.620003,125.019997,127.470001,127.339958,1009400
2017-11-13,127.230003,127.750000,125.839996,127.470001,127.339958,508300
2017-11-14,126.730003,127.379997,125.419998,126.830002,126.700615,491100
2017-11-15,126.860001,127.430000,125.440002,126.879997,126.750557,798300
2017-11-16,126.870003,130.259995,125.980003,129.940002,129.807434,684500
2017-11-17,130.669998,133.470001,130.410004,133.119995,132.984192,1301500
2017-11-20,133.669998,136.399994,133.169998,136.369995,136.230865,996500
2017-11-21,136.410004,136.839996,135.369995,136.110001,136.008545,812300
2017-11-22,135.899994,136.119995,134.729996,135.270004,135.169174,915700
2017-11-24,136.250000,136.759995,135.360001,135.470001,135.369019,249400
2017-11-27,135.479996,137.100006,134.830002,135.240005,135.139206,935600
2017-11-28,135.300003,138.660004,135.300003,137.559998,137.457474,1021100
2017-11-29,138.429993,139.509995,136.460007,137.139999,137.037766,1385700
2017-11-30,137.000000,138.500000,132.520004,134.550003,134.449707,2410500
2017-12-01,135.179993,138.110001,133.630005,137.309998,137.207657,1347300
2017-12-04,137.820007,138.270004,134.270004,134.279999,134.179901,1691800
2017-12-05,134.759995,134.809998,131.770004,133.600006,133.500412,1512900
2017-12-06,133.899994,134.139999,132.000000,133.279999,133.180679,814300
2017-12-07,133.009995,134.139999,132.600006,133.729996,133.630310,668500
2017-12-08,134.190002,135.410004,133.639999,135.399994,135.299057,554200
2017-12-11,134.949997,135.720001,133.580002,134.559998,134.459702,537200
2017-12-12,134.729996,134.949997,132.610001,132.940002,132.840912,781100
2017-12-13,132.750000,134.300003,132.600006,132.610001,132.511154,791400
2017-12-14,133.389999,133.440002,130.809998,131.690002,131.591843,981600
2017-12-15,132.630005,134.580002,132.610001,134.039993,133.940079,987700
2017-12-18,134.360001,137.850006,133.869995,136.309998,136.208405,963400
2017-12-19,137.050003,137.910004,135.940002,136.600006,136.498184,1020400
2017-12-20,137.470001,137.470001,135.419998,135.619995,135.518921,530300
2017-12-21,135.690002,136.880005,134.949997,135.610001,135.508926,673900
2017-12-22,136.179993,136.320007,134.639999,135.600006,135.498932,767700
2017-12-26,135.399994,136.820007,135.399994,136.520004,136.418243,342100
2017-12-27,136.929993,137.160004,135.889999,136.669998,136.568130,407900
2017-12-28,136.770004,137.130005,135.860001,136.910004,136.807953,469100
2017-12-29,137.789993,138.699997,137.089996,137.210007,137.107727,628000
2018-01-02,137.589996,139.380005,137.270004,138.970001,138.866425,638300
2018-01-03,139.360001,139.759995,137.929993,139.210007,139.106247,855200
2018-01-04,139.190002,142.699997,137.800003,141.419998,141.314590,1033300
2018-01-05,141.320007,143.699997,140.100006,143.089996,142.983353,1099800
2018-02-01,153.000000,155.660004,152.089996,154.169998,154.055084,695400
2018-02-02,153.309998,154.479996,150.470001,151.070007,150.957397,592800
2018-02-05,150.490005,152.589996,146.250000,146.250000,146.141006,840800
2018-02-06,143.059998,147.679993,141.059998,146.929993,146.820480,1385300
2018-02-07,152.800003,152.800003,149.029999,149.210007,149.098785,784600
2018-02-08,148.369995,148.550003,142.580002,142.679993,142.573639,908700
2018-02-09,143.669998,145.300003,139.429993,144.089996,143.982620,986100
2018-02-12,144.440002,148.289993,144.440002,146.779999,146.670593,697600
2018-02-13,146.220001,147.889999,146.070007,146.979996,146.870438,411900
2018-02-14,146.160004,151.380005,146.059998,150.660004,150.547714,1395100
2018-02-15,150.779999,151.550003,148.039993,151.550003,151.437027,751600
2018-02-16,150.199997,150.270004,147.270004,148.550003,148.439285,659800
2018-02-20,147.330002,147.750000,145.940002,146.679993,146.570663,581900
2018-02-21,146.649994,150.880005,146.649994,148.059998,147.949646,405600
